state;action_reward;n_state
880&5|350&2|690&2|286&5|682&2|268&4|302&3|270&3|887&4|313&4|346&3|288&5;689&3|294&3|335&3|895&2;880&5|350&2|690&2|286&5|682&2|268&4|302&3|270&3|887&4|313&4|346&3|288&5|689&3|294&3|335&3|895&2
181&3|537&5|645&5|226&3|241&2|660&3|144&3|549&3|117&3|659&3|595&3|519&4;545&1|90&2|1118&5|1002&1;181&3|537&5|645&5|226&3|241&2|660&3|144&3|549&3|117&3|659&3|595&3|519&4|545&1|90&2|1118&5|1002&1
328&5|23&5|652&5|1608&2|69&2|480&5|182&4|22&5|690&5|483&5|474&5|660&4;423&3|68&4|51&3|196&3;328&5|23&5|652&5|1608&2|69&2|480&5|182&4|22&5|690&5|483&5|474&5|660&4|423&3|68&4|51&3|196&3
689&3|306&4|269&3|346&3|750&3|267&4|751&3|268&4|338&2|682&3|879&5|301&4;880&4|350&3|259&2|358&3;689&3|306&4|269&3|346&3|750&3|267&4|751&3|268&4|338&2|682&3|879&5|301&4|880&4|350&3|259&2|358&3
508&5|313&5|50&4|269&4|290&4|127&5|1302&5|244&5|258&3|235&5|286&5|268&5;1132&3|476&1|1258&5|274&4;508&5|313&5|50&4|269&4|290&4|127&5|1302&5|244&5|258&3|235&5|286&5|268&5|1132&3|476&1|1258&5|274&4
455&4|251&3|1&3|152&5|384&2|522&4|792&4|198&4|7&2|432&4|588&1|204&3;665&2|64&4|559&2|200&4;455&4|251&3|1&3|152&5|384&2|522&4|792&4|198&4|7&2|432&4|588&1|204&3|665&2|64&4|559&2|200&4
173&5|934&3|207&4|762&2|1074&3|56&4|319&5|739&4|603&5|513&5|517&5|86&4;121&2|611&4|183&4|276&4;173&5|934&3|207&4|762&2|1074&3|56&4|319&5|739&4|603&5|513&5|517&5|86&4|121&2|611&4|183&4|276&4
283&4|523&2|544&4|762&3|111&3|191&3|1028&2|370&3|1&3|717&1|109&3|475&4;1615&3|764&3|328&2|597&3;283&4|523&2|544&4|762&3|111&3|191&3|1028&2|370&3|1&3|717&1|109&3|475&4|1615&3|764&3|328&2|597&3
260&3|325&4|69&3|258&5|651&5|15&5|1119&3|127&4|328&3|216&4|500&3|156&3;187&3|222&5|176&4|372&5;260&3|325&4|69&3|258&5|651&5|15&5|1119&3|127&4|328&3|216&4|500&3|156&3|187&3|222&5|176&4|372&5
316&4|303&4|496&5|50&5|705&4|261&4|258&4|362&3|272&5|265&5|892&3|879&4;210&4|95&5|1204&4|97&5;316&4|303&4|496&5|50&5|705&4|261&4|258&4|362&3|272&5|265&5|892&3|879&4|210&4|95&5|1204&4|97&5
249&3|12&5|288&3|1014&3|182&3|498&3|1073&3|13&3|748&2|596&3|419&3|89&4;69&3|347&3|4&1|269&4;249&3|12&5|288&3|1014&3|182&3|498&3|1073&3|13&3|748&2|596&3|419&3|89&4|69&3|347&3|4&1|269&4
294&5|687&1|319&3|321&2|302&4|690&4|289&3|325&4|678&4|261&2|269&4|288&4;875&3|948&4|988&2|1048&5;294&5|687&1|319&3|321&2|302&4|690&4|289&3|325&4|678&4|261&2|269&4|288&4|875&3|948&4|988&2|1048&5
1074&4|191&5|659&3|531&3|178&4|95&4|26&3|1115&4|216&5|181&4|188&5|402&4;1101&4|342&1|587&4|1014&2;1074&4|191&5|659&3|531&3|178&4|95&4|26&3|1115&4|216&5|181&4|188&5|402&4|1101&4|342&1|587&4|1014&2
283&4|742&3|10&4|276&5|740&4|471&3|273&4|221&4|9&4|321&4|284&4|676&5;544&4|473&4|696&4|405&3;283&4|742&3|10&4|276&5|740&4|471&3|273&4|221&4|9&4|321&4|284&4|676&5|544&4|473&4|696&4|405&3
276&5|710&5|237&5|17&2|762&4|124&4|327&3|763&5|357&5|354&3|48&4|11&4;122&2|111&3|137&4|780&3;276&5|710&5|237&5|17&2|762&4|124&4|327&3|763&5|357&5|354&3|48&4|11&4|122&2|111&3|137&4|780&3
898&1|263&3|9&3|538&3|750&4|751&5|300&4|877&1|270&5|310&4|335&2|690&4;890&4|680&2|893&3|266&2;898&1|263&3|9&3|538&3|750&4|751&5|300&4|877&1|270&5|310&4|335&2|690&4|890&4|680&2|893&3|266&2
645&3|180&1|863&2|286&4|246&5|427&4|515&4|197&5|318&5|382&5|528&5|269&3;423&4|87&5|735&4|179&1;645&3|180&1|863&2|286&4|246&5|427&4|515&4|197&5|318&5|382&5|528&5|269&3|423&4|87&5|735&4|179&1
78&3|176&5|95&4|77&3|228&3|755&3|96&5|63&3|449&5|435&3|151&4|399&4;391&3|161&4|559&4|295&3;78&3|176&5|95&4|77&3|228&3|755&3|96&5|63&3|449&5|435&3|151&4|399&4|391&3|161&4|559&4|295&3
72&2|873&4|476&5|1047&4|111&4|38&5|949&4|143&5|597&4|196&3|151&4|1063&5;562&4|1178&2|1032&4|53&1;72&2|873&4|476&5|1047&4|111&4|38&5|949&4|143&5|597&4|196&3|151&4|1063&5|562&4|1178&2|1032&4|53&1
687&2|873&3|678&4|324&1|288&3|323&4|289&2|258&4|243&3|326&4|286&3|333&3;1025&3|330&2|457&2|358&1;687&2|873&3|678&4|324&1|288&3|323&4|289&2|258&4|243&3|326&4|286&3|333&3|1025&3|330&2|457&2|358&1
588&3|742&4|758&2|405&5|98&4|164&5|977&3|268&5|678&4|886&5|368&3|121&4;222&5|265&4|751&5|184&3;588&3|742&4|758&2|405&5|98&4|164&5|977&3|268&5|678&4|886&5|368&3|121&4|222&5|265&4|751&5|184&3
258&3|324&3|313&5|328&2|358&1|289&2|347&4|302&5|288&5|301&2|333&5|286&4;751&1|316&3|343&4|264&3;258&3|324&3|313&5|328&2|358&1|289&2|347&4|302&5|288&5|301&2|333&5|286&4|751&1|316&3|343&4|264&3
14&4|124&4|137&4|847&4|100&5|9&4|253&5|283&3|15&3|275&4|19&5|744&4;508&5|269&4|285&5|936&5;14&4|124&4|137&4|847&4|100&5|9&4|253&5|283&3|15&3|275&4|19&5|744&4|508&5|269&4|285&5|936&5
221&3|203&4|475&4|294&4|179&5|153&4|288&5|963&4|12&5|216&4|302&4|59&4;358&2|960&3|878&1|689&3;221&3|203&4|475&4|294&4|179&5|153&4|288&5|963&4|12&5|216&4|302&4|59&4|358&2|960&3|878&1|689&3
79&2|306&3|271&4|175&5|262&5|484&5|319&4|519&4|192&4|340&3|490&4|1022&5;124&4|504&5|1019&5|493&5;79&2|306&3|271&4|175&5|262&5|484&5|319&4|519&4|192&4|340&3|490&4|1022&5|124&4|504&5|1019&5|493&5
1005&4|643&3|1524&5|1159&5|512&5|65&4|382&2|558&4|258&4|179&4|855&3|357&4;114&5|318&5|918&1|132&5;1005&4|643&3|1524&5|1159&5|512&5|65&4|382&2|558&4|258&4|179&4|855&3|357&4|114&5|318&5|918&1|132&5
689&3|269&3|945&4|1315&4|293&3|937&3|271&3|591&4|845&2|1172&3|319&3|86&4;73&3|29&2|969&4|161&3;689&3|269&3|945&4|1315&4|293&3|937&3|271&3|591&4|845&2|1172&3|319&3|86&4|73&3|29&2|969&4|161&3
499&3|294&4|86&2|421&2|515&4|490&3|613&5|480&2|419&3|1063&2|194&4|191&2;607&2|465&3|220&3|431&1;499&3|294&4|86&2|421&2|515&4|490&3|613&5|480&2|419&3|1063&2|194&4|191&2|607&2|465&3|220&3|431&1
183&5|732&3|109&4|455&4|234&4|665&2|655&3|121&4|231&3|81&4|42&2|39&3;751&3|136&4|96&5|651&4;183&5|732&3|109&4|455&4|234&4|665&2|655&3|121&4|231&3|81&4|42&2|39&3|751&3|136&4|96&5|651&4
300&2|286&1|750&2|316&3|301&3|327&2|312&1|896&5|270&3|302&3|340&3|303&4;245&1|326&1|338&3|689&2;300&2|286&1|750&2|316&3|301&3|327&2|312&1|896&5|270&3|302&3|340&3|303&4|245&1|326&1|338&3|689&2
477&5|713&2|1534&1|235&4|328&4|286&3|742&4|298&5|323&3|988&1|326&1|50&5;225&4|151&4|111&3|936&3;477&5|713&2|1534&1|235&4|328&4|286&3|742&4|298&5|323&3|988&1|326&1|50&5|225&4|151&4|111&3|936&3
243&1|245&2|1&4|7&4|221&2|269&4|286&3|919&4|100&4|13&3|475&4|276&4;222&3|508&3|151&4|628&1;243&1|245&2|1&4|7&4|221&2|269&4|286&3|919&4|100&4|13&3|475&4|276&4|222&3|508&3|151&4|628&1
25&3|237&5|123&4|1197&3|596&3|7&4|328&3|259&1|458&3|864&2|222&4|1&4;276&3|147&3|293&4|410&4;25&3|237&5|123&4|1197&3|596&3|7&4|328&3|259&1|458&3|864&2|222&4|1&4|276&3|147&3|293&4|410&4
276&5|235&3|228&5|249&3|405&3|125&2|659&5|117&4|10&5|203&4|151&5|855&5;1050&4|1039&4|214&3|528&5;276&5|235&3|228&5|249&3|405&3|125&2|659&5|117&4|10&5|203&4|151&5|855&5|1050&4|1039&4|214&3|528&5
285&5|251&5|296&3|307&3|311&5|10&2|302&5|288&3|298&3|315&1|284&4|303&4;308&3|313&5|310&4|304&4;285&5|251&5|296&3|307&3|311&5|10&2|302&5|288&3|298&3|315&1|284&4|303&4|308&3|313&5|310&4|304&4
28&4|385&4|135&2|42&4|756&3|275&5|569&3|386&3|969&4|1232&3|65&3|546&2;222&3|435&4|302&5|1037&2;28&4|385&4|135&2|42&4|756&3|275&5|569&3|386&3|969&4|1232&3|65&3|546&2|222&3|435&4|302&5|1037&2
301&5|321&3|331&4|877&1|248&5|268&4|327&4|340&5|873&5|9&5|475&5|270&5;125&5|846&5|827&4|508&5;301&5|321&3|331&4|877&1|248&5|268&4|327&4|340&5|873&5|9&5|475&5|270&5|125&5|846&5|827&4|508&5
100&4|147&2|116&4|137&5|410&1|8&4|589&4|648&4|79&5|704&2|182&4|925&3;430&5|321&3|387&4|304&4;100&4|147&2|116&4|137&5|410&1|8&4|589&4|648&4|79&5|704&2|182&4|925&3|430&5|321&3|387&4|304&4
475&5|166&4|1022&2|181&5|137&4|288&3|57&5|582&5|1160&4|1129&5|285&5|70&4;313&5|151&4|130&2|405&3;475&5|166&4|1022&2|181&5|137&4|288&3|57&5|582&5|1160&4|1129&5|285&5|70&4|313&5|151&4|130&2|405&3
318&5|445&4|525&2|645&5|96&4|435&3|91&5|514&4|50&5|238&4|183&4|98&5;1154&5|153&4|181&5|176&4;318&5|445&4|525&2|645&5|96&4|435&3|91&5|514&4|50&5|238&4|183&4|98&5|1154&5|153&4|181&5|176&4
191&5|137&4|111&4|792&5|202&4|869&4|514&5|153&4|69&4|644&4|237&5|100&4;535&4|274&4|762&5|280&3;191&5|137&4|111&4|792&5|202&4|869&4|514&5|153&4|69&4|644&4|237&5|100&4|535&4|274&4|762&5|280&3
640&2|538&4|202&4|155&2|340&3|237&4|402&3|949&3|173&4|582&2|52&4|739&4;203&4|222&2|159&4|738&4;640&2|538&4|202&4|155&2|340&3|237&4|402&3|949&3|173&4|582&2|52&4|739&4|203&4|222&2|159&4|738&4
700&3|1017&3|340&5|89&4|200&3|805&3|435&4|498&5|1&3|482&3|729&2|143&3;264&3|1079&2|1218&3|174&4;700&3|1017&3|340&5|89&4|200&3|805&3|435&4|498&5|1&3|482&3|729&2|143&3|264&3|1079&2|1218&3|174&4
805&4|173&5|169&5|225&3|550&4|663&4|47&5|349&4|328&5|483&5|1135&3|109&5;473&4|231&3|1228&3|257&4;805&4|173&5|169&5|225&3|550&4|663&4|47&5|349&4|328&5|483&5|1135&3|109&5|473&4|231&3|1228&3|257&4
521&3|258&3|315&4|183&4|153&3|527&5|180&4|132&5|210&3|602&4|892&3|99&3;134&5|1444&3|378&5|1451&4;521&3|258&3|315&4|183&4|153&3|527&5|180&4|132&5|210&3|602&4|892&3|99&3|134&5|1444&3|378&5|1451&4
955&3|529&3|971&2|505&4|194&5|471&4|423&5|962&4|165&4|508&5|813&5|707&4;482&4|258&5|692&4|488&5;955&3|529&3|971&2|505&4|194&5|471&4|423&5|962&4|165&4|508&5|813&5|707&4|482&4|258&5|692&4|488&5
195&4|161&5|144&4|385&3|841&3|176&3|427&3|237&4|452&3|173&3|720&4|200&4;28&3|3&5|393&3|72&2;195&4|161&5|144&4|385&3|841&3|176&3|427&3|237&4|452&3|173&3|720&4|200&4|28&3|3&5|393&3|72&2
385&2|637&2|461&4|736&4|285&5|174&5|427&5|238&5|732&5|434&3|187&5|141&4;705&4|251&5|529&4|517&4;385&2|637&2|461&4|736&4|285&5|174&5|427&5|238&5|732&5|434&3|187&5|141&4|705&4|251&5|529&4|517&4
250&5|955&4|511&4|134&4|931&1|443&3|1131&3|1134&2|475&4|257&2|845&3|83&5;1018&3|72&3|207&3|227&1;250&5|955&4|511&4|134&4|931&1|443&3|1131&3|1134&2|475&4|257&2|845&3|83&5|1018&3|72&3|207&3|227&1
286&5|331&2|304&3|307&2|903&2|303&3|311&3|990&2|1176&4|906&5|270&3|300&3;268&1|245&2|258&2|995&2;286&5|331&2|304&3|307&2|903&2|303&3|311&3|990&2|1176&4|906&5|270&3|300&3|268&1|245&2|258&2|995&2
12&5|510&4|479&4|98&4|615&4|249&1|191&4|8&5|347&3|213&5|294&1|127&3;642&4|1121&4|96&4|79&4;12&5|510&4|479&4|98&4|615&4|249&1|191&4|8&5|347&3|213&5|294&1|127&3|642&4|1121&4|96&4|79&4
396&4|588&4|628&4|219&1|100&4|1082&3|904&2|217&3|995&3|473&3|741&4|225&2;1079&1|147&1|732&3|1036&2;396&4|588&4|628&4|219&1|100&4|1082&3|904&2|217&3|995&3|473&3|741&4|225&2|1079&1|147&1|732&3|1036&2
492&4|603&5|215&5|478&5|479&4|606&5|286&4|427&5|566&4|193&4|510&5|245&2;1203&5|604&5|1443&4|172&5;492&4|603&5|215&5|478&5|479&4|606&5|286&4|427&5|566&4|193&4|510&5|245&2|1203&5|604&5|1443&4|172&5
333&5|750&2|328&1|895&4|899&5|331&3|315&2|344&1|302&2|300&3|301&2|313&3;327&1|288&5|1313&2|269&5;333&5|750&2|328&1|895&4|899&5|331&3|315&2|344&1|302&2|300&3|301&2|313&3|327&1|288&5|1313&2|269&5
523&5|906&3|307&5|315&5|313&3|347&1|1176&4|310&4|327&4|305&4|748&1|883&4;124&5|234&4|1126&3|9&5;523&5|906&3|307&5|315&5|313&3|347&1|1176&4|310&4|327&4|305&4|748&1|883&4|124&5|234&4|1126&3|9&5
993&3|1609&1|1038&4|312&4|299&3|1278&4|260&2|313&5|255&4|876&2|1142&3|294&3;296&3|1665&2|1514&2|253&2;993&3|1609&1|1038&4|312&4|299&3|1278&4|260&2|313&5|255&4|876&2|1142&3|294&3|296&3|1665&2|1514&2|253&2
180&3|321&4|94&3|288&2|763&4|432&5|47&5|202&3|100&4|475&3|410&4|208&4;420&3|625&3|693&4|531&4;180&3|321&4|94&3|288&2|763&4|432&5|47&5|202&3|100&4|475&3|410&4|208&4|420&3|625&3|693&4|531&4
931&2|231&5|373&4|1469&4|174&5|49&5|771&4|63&4|254&4|417&4|672&4|432&5;549&5|400&5|271&5|172&5;931&2|231&5|373&4|1469&4|174&5|49&5|771&4|63&4|254&4|417&4|672&4|432&5|549&5|400&5|271&5|172&5
194&4|121&3|763&4|174&4|396&2|77&3|218&5|546&4|168&3|237&4|649&4|428&1;281&3|1210&3|106&3|118&4;194&4|121&3|763&4|174&4|396&2|77&3|218&5|546&4|168&3|237&4|649&4|428&1|281&3|1210&3|106&3|118&4
134&2|1067&3|114&5|1099&2|685&4|181&5|707&3|625&4|315&3|408&5|537&1|156&3;761&3|444&4|816&1|1157&2;134&2|1067&3|114&5|1099&2|685&4|181&5|707&3|625&4|315&3|408&5|537&1|156&3|761&3|444&4|816&1|1157&2
98&5|39&3|12&4|744&4|227&3|234&4|5&3|55&4|325&4|653&4|504&4|294&4;226&3|379&2|564&1|38&3;98&5|39&3|12&4|744&4|227&3|234&4|5&3|55&4|325&4|653&4|504&4|294&4|226&3|379&2|564&1|38&3
658&4|188&3|713&2|642&2|50&5|186&4|468&2|1028&2|71&5|654&3|307&3|845&3;139&2|1437&1|450&1|227&4;658&4|188&3|713&2|642&2|50&5|186&4|468&2|1028&2|71&5|654&3|307&3|845&3|139&2|1437&1|450&1|227&4
611&5|604&5|607&4|481&3|136&4|631&5|1126&4|181&4|514&3|515&5|483&5|111&4;646&4|213&5|1&3|8&3;611&5|604&5|607&4|481&3|136&4|631&5|1126&4|181&4|514&3|515&5|483&5|111&4|646&4|213&5|1&3|8&3
250&3|185&4|181&5|210&5|194&5|1254&3|174&5|69&3|193&4|178&4|258&4|751&4;168&4|203&4|748&3|298&4;250&3|185&4|181&5|210&5|194&5|1254&3|174&5|69&3|193&4|178&4|258&4|751&4|168&4|203&4|748&3|298&4
245&4|333&3|118&4|302&3|313&4|930&3|289&4|298&3|597&4|750&3|1399&2|300&4;117&4|257&4|127&4|50&4;245&4|333&3|118&4|302&3|313&4|930&3|289&4|298&3|597&4|750&3|1399&2|300&4|117&4|257&4|127&4|50&4
127&5|285&4|458&4|26&4|1098&2|406&1|192&4|425&3|97&2|282&2|176&4|17&3;15&3|118&1|1174&5|77&2;127&5|285&4|458&4|26&4|1098&2|406&1|192&4|425&3|97&2|282&2|176&4|17&3|15&3|118&1|1174&5|77&2
289&5|321&5|342&5|300&5|902&5|873&3|323&4|881&4|294&5|333&5|301&5|288&3;286&4|339&5|269&5|338&4;289&5|321&5|342&5|300&5|902&5|873&3|323&4|881&4|294&5|333&5|301&5|288&3|286&4|339&5|269&5|338&4
9&5|1007&4|628&3|248&3|249&3|1161&3|741&5|286&1|50&5|100&5|124&4|93&4;181&4|151&2|1017&3|111&3;9&5|1007&4|628&3|248&3|249&3|1161&3|741&5|286&1|50&5|100&5|124&4|93&4|181&4|151&2|1017&3|111&3
508&3|419&4|174&5|339&4|286&4|660&3|186&4|659&4|491&4|427&3|183&2|199&5;208&3|385&4|511&5|318&5;508&3|419&4|174&5|339&4|286&4|660&3|186&4|659&4|491&4|427&3|183&2|199&5|208&3|385&4|511&5|318&5
499&3|293&4|192&5|923&4|135&4|23&5|483&5|205&4|191&4|215&5|501&3|56&5;121&4|204&5|845&4|31&3;499&3|293&4|192&5|923&4|135&4|23&5|483&5|205&4|191&4|215&5|501&3|56&5|121&4|204&5|845&4|31&3
228&3|213&2|433&3|845&4|582&4|708&3|69&4|286&5|196&4|529&3|684&3|425&4;443&4|356&2|109&2|270&3;228&3|213&2|433&3|845&4|582&4|708&3|69&4|286&5|196&4|529&3|684&3|425&4|443&4|356&2|109&2|270&3
28&3|12&5|660&4|181&5|1079&4|367&3|645&5|603&4|125&4|705&4|435&4|239&3;228&4|679&2|88&4|632&3;28&3|12&5|660&4|181&5|1079&4|367&3|645&5|603&4|125&4|705&4|435&4|239&3|228&4|679&2|88&4|632&3
273&4|69&4|521&4|223&5|527&4|157&5|334&4|153&4|48&4|470&4|179&5|178&5;321&4|504&5|40&4|340&4;273&4|69&4|521&4|223&5|527&4|157&5|334&4|153&4|48&4|470&4|179&5|178&5|321&4|504&5|40&4|340&4
482&5|222&4|657&5|174&4|474&3|603&5|245&4|199&4|1299&4|480&5|135&3|419&4;479&5|161&2|484&5|175&2;482&5|222&4|657&5|174&4|474&3|603&5|245&4|199&4|1299&4|480&5|135&3|419&4|479&5|161&2|484&5|175&2
151&5|24&3|357&5|134&4|56&5|42&5|100&4|1039&4|275&3|22&3|960&2|527&4;20&4|327&5|509&4|188&5;151&5|24&3|357&5|134&4|56&5|42&5|100&4|1039&4|275&3|22&3|960&2|527&4|20&4|327&5|509&4|188&5
753&3|171&5|1422&3|333&5|176&4|603&4|64&5|173&5|180&5|1103&5|511&5|707&4;512&5|23&5|195&4|56&5;753&3|171&5|1422&3|333&5|176&4|603&4|64&5|173&5|180&5|1103&5|511&5|707&4|512&5|23&5|195&4|56&5
479&5|248&4|194&3|898&1|879&2|271&2|125&3|222&3|302&4|132&4|355&2|340&4;191&3|175&4|187&5|462&5;479&5|248&4|194&3|898&1|879&2|271&2|125&3|222&3|302&4|132&4|355&2|340&4|191&3|175&4|187&5|462&5
633&4|1593&4|270&2|168&5|22&2|480&5|1558&5|180&5|1379&3|657&3|879&1|192&4;708&4|162&4|61&4|518&1;633&4|1593&4|270&2|168&5|22&2|480&5|1558&5|180&5|1379&3|657&3|879&1|192&4|708&4|162&4|61&4|518&1
628&3|406&2|282&4|181&4|815&3|1&4|273&3|118&2|129&4|298&4|235&3|294&5;508&4|3&4|685&3|591&4;628&3|406&2|282&4|181&4|815&3|1&4|273&3|118&2|129&4|298&4|235&3|294&5|508&4|3&4|685&3|591&4
474&3|69&4|172&5|85&3|785&3|1249&3|382&1|508&1|732&4|585&4|648&4|222&5;780&2|122&1|67&5|734&3;474&3|69&4|172&5|85&3|785&3|1249&3|382&1|508&1|732&4|585&4|648&4|222&5|780&2|122&1|67&5|734&3
69&5|323&2|614&4|264&4|331&5|22&5|211&2|328&4|322&4|28&4|483&4|529&4;418&2|526&4|132&3|182&4;69&5|323&2|614&4|264&4|331&5|22&5|211&2|328&4|322&4|28&4|483&4|529&4|418&2|526&4|132&3|182&4
173&5|96&4|56&3|423&4|222&3|651&4|169&3|174&4|181&5|50&5|28&3|98&3;168&3|73&3|531&4|318&4;173&5|96&4|56&3|423&4|222&3|651&4|169&3|174&4|181&5|50&5|28&3|98&3|168&3|73&3|531&4|318&4
134&3|318&5|880&4|603&5|357&5|327&3|165&4|185&5|611&5|750&3|210&4|302&5;238&4|170&5|187&5|180&5;134&3|318&5|880&4|603&5|357&5|327&3|165&4|185&5|611&5|750&3|210&4|302&5|238&4|170&5|187&5|180&5
59&5|694&5|185&5|212&5|796&3|241&4|713&3|724&4|306&3|736&3|211&5|88&4;952&3|134&5|661&4|13&4;59&5|694&5|185&5|212&5|796&3|241&4|713&3|724&4|306&3|736&3|211&5|88&4|952&3|134&5|661&4|13&4
258&4|292&3|272&5|269&5|302&4|286&4|313&3|262&3|289&3|315&4|300&3|340&4;245&3|294&3|325&1|322&2;258&4|292&3|272&5|269&5|302&4|286&4|313&3|262&3|289&3|315&4|300&3|340&4|245&3|294&3|325&1|322&2
181&4|1039&4|1065&3|514&5|183&3|230&3|447&3|427&5|449&1|127&5|135&5|357&5;843&3|403&1|496&5|1149&5;181&4|1039&4|1065&3|514&5|183&3|230&3|447&3|427&5|449&1|127&5|135&5|357&5|843&3|403&1|496&5|1149&5
509&4|180&5|196&5|223&4|286&2|157&3|690&4|521&5|212&5|1079&2|100&1|15&4;42&5|204&5|522&5|818&5;509&4|180&5|196&5|223&4|286&2|157&3|690&4|521&5|212&5|1079&2|100&1|15&4|42&5|204&5|522&5|818&5
307&4|286&2|288&5|333&5|690&2|1038&3|313&5|272&4|328&4|315&4|326&5|322&4;682&3|347&5|271&4|325&5;307&4|286&2|288&5|333&5|690&2|1038&3|313&5|272&4|328&4|315&4|326&5|322&4|682&3|347&5|271&4|325&5
321&2|300&5|312&5|268&2|332&5|313&4|333&5|678&2|245&4|347&5|879&5|336&2;1025&2|323&2|322&3|264&1;321&2|300&5|312&5|268&2|332&5|313&4|333&5|678&2|245&4|347&5|879&5|336&2|1025&2|323&2|322&3|264&1
196&4|766&3|372&3|403&3|483&5|1&4|588&5|51&4|97&2|715&4|995&3|428&4;29&3|1297&2|170&5|40&4;196&4|766&3|372&3|403&3|483&5|1&4|588&5|51&4|97&2|715&4|995&3|428&4|29&3|1297&2|170&5|40&4
682&5|319&3|748&5|307&5|222&5|538&4|879&5|315&5|345&5|750&5|288&5|50&5;118&5|1034&5|405&5|678&5;682&5|319&3|748&5|307&5|222&5|538&4|879&5|315&5|345&5|750&5|288&5|50&5|118&5|1034&5|405&5|678&5
252&3|1&5|748&4|515&5|151&3|258&5|405&4|121&4|181&4|323&2|282&3|866&4;237&4|1047&3|411&3|225&3;252&3|1&5|748&4|515&5|151&3|258&5|405&4|121&4|181&4|323&2|282&3|866&4|237&4|1047&3|411&3|225&3
64&4|216&3|692&4|331&4|432&1|385&3|403&3|570&3|550&3|521&4|474&4|504&3;528&5|153&2|655&4|316&5;64&4|216&3|692&4|331&4|432&1|385&3|403&3|570&3|550&3|521&4|474&4|504&3|528&5|153&2|655&4|316&5
122&3|54&3|56&4|322&2|1333&4|559&2|76&3|285&5|96&3|467&4|222&3|68&3;658&1|810&1|583&3|616&3;122&3|54&3|56&4|322&2|1333&4|559&2|76&3|285&5|96&3|467&4|222&3|68&3|658&1|810&1|583&3|616&3
216&5|763&3|475&4|1059&3|407&1|859&2|85&3|168&5|1057&4|1437&2|56&4|845&1;282&3|151&1|546&3|294&4;216&5|763&3|475&4|1059&3|407&1|859&2|85&3|168&5|1057&4|1437&2|56&4|845&1|282&3|151&1|546&3|294&4
174&5|135&4|95&3|164&3|11&4|216&3|944&2|200&5|239&3|133&4|50&5|99&3;723&3|419&4|576&4|815&4;174&5|135&4|95&3|164&3|11&4|216&3|944&2|200&5|239&3|133&4|50&5|99&3|723&3|419&4|576&4|815&4
321&2|1142&5|813&3|302&4|242&3|273&5|1007&4|285&4|303&4|124&4|327&3|319&3;547&3|10&3|20&3|275&5;321&2|1142&5|813&3|302&4|242&3|273&5|1007&4|285&4|303&4|124&4|327&3|319&3|547&3|10&3|20&3|275&5
763&2|40&4|429&4|121&5|4&1|254&3|367&3|431&5|514&2|748&3|172&5|125&2;810&4|635&2|39&3|2&4;763&2|40&4|429&4|121&5|4&1|254&3|367&3|431&5|514&2|748&3|172&5|125&2|810&4|635&2|39&3|2&4
300&4|281&4|237&3|845&3|455&1|106&4|269&4|411&1|1315&3|282&4|1048&2|50&2;171&1|176&3|210&2|64&4;300&4|281&4|237&3|845&3|455&1|106&4|269&4|411&1|1315&3|282&4|1048&2|50&2|171&1|176&3|210&2|64&4
56&5|550&4|597&5|55&3|472&2|288&4|568&3|147&3|930&3|831&2|827&3|96&4;665&3|92&4|172&4|127&4;56&5|550&4|597&5|55&3|472&2|288&4|568&3|147&3|930&3|831&2|827&3|96&4|665&3|92&4|172&4|127&4
313&2|9&5|744&5|100&5|269&5|19&4|56&4|237&4|647&5|515&5|286&5|847&4;525&5|42&3|204&4|318&5;313&2|9&5|744&5|100&5|269&5|19&4|56&4|237&4|647&5|515&5|286&5|847&4|525&5|42&3|204&4|318&5
272&4|507&4|506&3|191&5|381&5|432&3|83&4|102&3|190&5|625&5|638&4|134&4;197&4|1060&4|185&5|203&4;272&4|507&4|506&3|191&5|381&5|432&3|83&4|102&3|190&5|625&5|638&4|134&4|197&4|1060&4|185&5|203&4
238&3|147&5|435&3|128&4|71&4|200&3|231&2|433&2|42&5|48&4|943&3|1019&4;790&4|161&5|76&4|405&3;238&3|147&5|435&3|128&4|71&4|200&3|231&2|433&2|42&5|48&4|943&3|1019&4|790&4|161&5|76&4|405&3
358&3|288&4|678&4|333&5|1393&3|289&1|294&5|328&4|682&4|286&2|748&5|332&4;873&4|881&4|261&1|292&3;358&3|288&4|678&4|333&5|1393&3|289&1|294&5|328&4|682&4|286&2|748&5|332&4|873&4|881&4|261&1|292&3
449&3|775&2|239&4|128&3|121&5|186&5|100&5|367&4|66&5|414&3|281&4|1118&3;705&4|97&5|521&3|1178&3;449&3|775&2|239&4|128&3|121&5|186&5|100&5|367&4|66&5|414&3|281&4|1118&3|705&4|97&5|521&3|1178&3
494&3|197&5|8&2|15&4|510&1|419&4|662&3|705&5|648&4|482&3|504&3|56&2;1269&3|378&1|320&1|427&5;494&3|197&5|8&2|15&4|510&1|419&4|662&3|705&5|648&4|482&3|504&3|56&2|1269&3|378&1|320&1|427&5
265&5|1&5|588&5|211&3|95&5|215&5|174&4|526&5|181&4|204&4|520&5|418&5;405&5|1133&5|969&5|274&4;265&5|1&5|588&5|211&3|95&5|215&5|174&4|526&5|181&4|204&4|520&5|418&5|405&5|1133&5|969&5|274&4
